Leitura,Sensor
01/12/2016 11:03,288.5
01/12/2016 11:06,277.5
01/12/2016 11:06,354.5
01/12/2016 11:21,354.5
01/12/2016 11:35,288.5
01/12/2016 11:37,277.5
01/12/2016 11:38,360
01/12/2016 11:52,354.5
01/12/2016 12:07,288.5
01/12/2016 12:08,277.5
01/12/2016 12:10,360
01/12/2016 12:23,360
01/12/2016 12:38,288.5
01/12/2016 12:42,360
01/12/2016 12:55,354.5
01/12/2016 13:09,272
01/12/2016 13:10,288.5
01/12/2016 13:14,360
01/12/2016 13:26,360
01/12/2016 13:40,272
01/12/2016 13:42,288.5
01/12/2016 13:46,360
01/12/2016 13:57,360
01/12/2016 14:11,272
01/12/2016 14:14,288.5
01/12/2016 14:28,354.5
01/12/2016 14:42,272
01/12/2016 14:45,288.5
01/12/2016 14:51,360
01/12/2016 14:59,354.5
01/12/2016 15:13,266.5
01/12/2016 15:17,288.5
01/12/2016 15:31,354.5
01/12/2016 15:44,266.5
01/12/2016 15:49,288.5
01/12/2016 15:56,354.5
01/12/2016 16:02,354.5
01/12/2016 16:15,266.5
01/12/2016 16:21,288.5
01/12/2016 16:28,354.5
01/12/2016 16:33,354.5
01/12/2016 16:46,266.5
01/12/2016 16:53,288.5
01/12/2016 17:04,354.5
01/12/2016 17:17,261
01/12/2016 17:25,288.5
01/12/2016 17:34,354.5
01/12/2016 17:36,354.5
01/12/2016 17:48,261
01/12/2016 17:56,288.5
01/12/2016 18:07,360
01/12/2016 18:19,261
01/12/2016 18:28,288.5
01/12/2016 18:38,354.5
01/12/2016 18:38,360
01/12/2016 18:50,261
01/12/2016 19:00,294
01/12/2016 19:09,365.5
01/12/2016 19:10,354.5
01/12/2016 19:21,266.5
01/12/2016 19:31,294
01/12/2016 19:40,365.5
01/12/2016 19:42,354.5
01/12/2016 19:52,261
01/12/2016 20:03,294
01/12/2016 20:11,371
01/12/2016 20:14,360
01/12/2016 20:23,266.5
01/12/2016 20:35,299.5
01/12/2016 20:42,371
01/12/2016 20:46,360
01/12/2016 20:54,266.5
01/12/2016 21:06,299.5
01/12/2016 21:13,376.5
01/12/2016 21:18,360
01/12/2016 21:25,266.5
01/12/2016 21:38,299.5
01/12/2016 21:44,376.5
01/12/2016 21:50,360
01/12/2016 21:55,266.5
01/12/2016 22:10,299.5
01/12/2016 22:16,376.5
01/12/2016 22:22,365.5
01/12/2016 22:26,266.5
01/12/2016 22:41,305
01/12/2016 22:47,382
01/12/2016 22:53,365.5
01/12/2016 22:57,272
01/12/2016 23:13,305
01/12/2016 23:18,382
01/12/2016 23:25,365.5
01/12/2016 23:28,272
01/12/2016 23:44,305
01/12/2016 23:49,382
01/12/2016 23:57,365.5
01/12/2016 23:59,272
